a,10
ag,15
al,5
au,1000
b,10
bb,500
bu,10
c,10
CF,5
cs,10
cu,5
fb,500
FG,20
fu,50
hc,10
i,100
IC,200
IF,300
IH,300
j,100
jd,10
jm,60
JR,20
l,5
LR,20
m,10
MA,10
ni,1
OI,10
p,10
pb,5
PM,50
pp,5
rb,10
RI,20
RM,10
RS,10
ru,10
SF,5
SM,5
sn,1
SR,10
T,10000
TA,5
TF,10000
v,5
WH,20
wr,10
y,10
ZC,100
zn,5
